# file...... loads_volts_C.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# group..... class=load
# property.. voltage_C
# limit..... 10000000
# interval.. 1
# timestamp,load701,load712,load713,load714,load718,load720,load722,load724,load725,load727,load728,load729,load730,load731,load732,load733,load734,load735,load736,load737,load738,load740,load741,load742,load744
2010-01-01 00:00:00 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.71681+2742.23j,-0.688714+2740.42j,-0.536597+2741.47j,+4.02827+2733.72j,+4.32054+2728.99j,+8.04887+2726.28j,+9.73904+2724.06j,+13.2805+2718.47j,+14.1421+2713.06j,+11.1357+2711.22j,+15.75+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4952+2751.32j,-0.563794+2741.45j
2010-01-01 00:00:14 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:15 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:16 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:17 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:18 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:19 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:20 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:21 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:22 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:23 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:24 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:25 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:26 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:27 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:28 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:29 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:30 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:31 EST,-29.8611+2785.91j,-23.28+2767.52j,-23.2194+2767.59j,-24.1009+2761.1j,-23.9989+2761.19j,-25.2023+2751.78j,-32.9957+2739.86j,-33.7765+2739.19j,-26.2167+2750.21j,-19.312+2767.02j,-19.2764+2765.22j,-19.1299+2766.27j,-18.1674+2767.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-25.1198+2767.31j,-19.1571+2766.25j
2010-01-01 00:00:32 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3754+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716839+2742.23j,-0.688744+2740.42j,-0.536626+2741.47j,+4.02823+2733.72j,+4.3205+2728.99j,+8.04883+2726.28j,+9.73899+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1356+2711.22j,+15.7499+2715.91j,+17.1642+2714.21j,+18.9815+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563824+2741.45j
2010-01-01 00:00:33 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688723+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563803+2741.45j
2010-01-01 00:00:34 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.71682+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:35 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:36 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:37 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:38 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:39 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:40 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:41 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:42 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
2010-01-01 00:00:43 EST,-23.3261+2776.35j,-11.6592+2751.51j,-11.5987+2751.59j,-12.4825+2745.08j,-12.3812+2745.16j,-13.586+2735.74j,-21.3753+2723.83j,-22.1528+2723.17j,-14.6093+2734.16j,-0.716819+2742.23j,-0.688724+2740.42j,-0.536606+2741.47j,+4.02826+2733.72j,+4.32053+2728.99j,+8.04886+2726.28j,+9.73902+2724.06j,+13.2804+2718.47j,+14.142+2713.06j,+11.1357+2711.22j,+15.7499+2715.91j,+17.1643+2714.21j,+18.9816+2711.26j,+18.8844+2711.83j,-13.4953+2751.32j,-0.563804+2741.45j
